"","Species","Status","Seed.size","Seed.shape","Dispersal.syndrome","Vegetative.sperad","Leaf.size","Habit","Sculthorpe","Plant.height","Stem.length","Persistence","Reproductive.period","Stem.type","Nitrogen.fixation","Anaerobiosis.tolerance","Drougth.tolerance","Photosynthetic.path","Raunkiaer"
"1","Acmella_decumbens","1","2","1","0","1","2","1","0","25","50","1","4","1","0","1","1","1","1"
"2","Alternanthera_philoxeroides","1","2","2","1","1","2","1","1","30","100","1","1","1","0","2","1","2","2"
"3","Alternanthera_reineckii","1","1","2","1","1","2","2","2","10","40","2","1","1","0","1","1","2","3"
"4","Amphibromus_sp","1","2","2","1","1","2","3","2","40","70","1","4","1","0","2","1","1","4"
"5","Axonopus_fissifolius","1","2","3","1","1","3","2","2","10","100","1","1","1","0","2","1","2","2"
"6","Azolla_filiculoides","1","1","4","1","1","1","4","3","1","3","2","0","1","1","2","1","1","3"
"7","Baccharis_trimera","1","2","1","0","0","2","5","0","40","70","1","1","2","0","1","2","1","1"
"8","Bromus_sp","1","4","5","1","0","3","6","0","10","40","1","4","1","0","1","1","1","2"
"9","Callitriche_lechleri","1","1","3","1","0","1","4","4","30","50","2","3","1","0","2","1","1","3"
"10","Carex_sp","1","3","2","1","1","3","6","2","30","60","1","4","1","0","2","2","1","2"
"11","Centella_asiatica","1","3","2","1","1","2","2","2","5","100","1","1","1","0","1","2","1","2"
"12","Cerastium_humifusum","1","2","4","1","1","1","1","2","15","25","2","4","1","0","2","1","1","3"
"13","Chaptalia_piloselloides","1","4","5","1","0","3","7","0","10","10","1","4","1","0","1","1","1","2"
"14","Chara_sp","1","1","4","1","0","0","4","4","20","50","2","0","1","0","2","1","1","3"
"15","Cirsium_vulgare","2","3","1","0","0","4","7","0","50","150","3","1","1","0","1","2","1","3"
"16","Crassula_peduncularis","1","1","3","1","1","1","1","2","5","10","2","3","1","0","2","2","3","3"
"17","Cuphea_varia","1","1","4","1","0","1","5","2","20","30","2","1","1","0","2","1","1","1"
"18","Cynodon_dactylon","2","2","2","1","1","2","2","0","15","100","1","4","1","0","2","1","2","2"
"19","Cyperus_sesquiflorus","1","2","3","1","1","2","6","2","30","40","1","4","1","0","1","1","2","2"
"20","Cyperus_sp","1","2","3","1","1","3","6","2","30","50","1","1","1","0","2","2","2","4"
"21","Danthonia_secundiflora","1","2","3","1","0","2","6","2","20","70","1","4","1","0","2","1","1","2"
"22","Dichanthelium_sabulorum","1","2","2","1","1","1","6","0","20","50","1","4","1","0","1","2","2","2"
"23","Dichondra_microcalyx","1","2","3","1","1","2","2","0","5","80","1","3","1","0","2","1","1","2"
"24","Echinodorus_longiscapus","1","2","3","1","1","4","3","1","50","70","1","4","1","0","2","1","1","4"
"25","Eclipta_elliptica","1","2","2","1","1","2","2","2","5","50","1","1","1","0","1","1","1","2"
"26","Elatine_brachysperma","1","1","5","1","1","1","1","2","5","15","2","4","1","0","2","1","1","3"
"27","Eleocharis_bonariensis","1","2","3","1","1","2","3","2","15","50","1","4","1","0","2","1","2","2"
"28","Eleocharis_haumaniana","1","2","3","1","1","3","3","1","30","60","1","4","1","0","2","1","2","4"
"29","Eleocharis_minima","1","1","3","1","1","1","6","1","5","20","2","4","1","0","2","1","2","3"
"30","Eleocharis_montana","1","2","6","1","1","3","3","1","40","100","1","1","1","0","2","2","2","4"
"31","Eleocharis_radicans","1","1","3","1","1","1","3","2","5","10","1","1","1","0","2","1","2","4"
"32","Eleocharis_sellowiana","1","1","3","1","1","2","3","1","20","50","1","4","1","0","2","1","2","4"
"33","Eleocharis_viridans","1","1","6","1","1","1","6","2","10","40","1","4","1","0","2","2","2","2"
"34","Elodea_sp","2","4","5","1","1","2","4","4","15","100","1","4","1","0","2","1","2","2"
"35","Enydra_sessilis","1","2","3","1","0","2","8","2","10","80","1","1","1","0","2","1","1","2"
"36","Eragrostis_cataclasta","1","1","3","1","1","3","6","2","15","50","1","4","1","0","1","2","2","2"
"37","Eryngium_eburneum","1","2","1","0","0","4","7","2","40","60","1","1","1","0","2","2","1","2"
"38","Eryngium_echinatum","1","2","1","0","0","3","8","2","10","60","1","1","1","0","2","2","1","2"
"39","Eryngium_nudicaule","1","2","1","0","0","3","7","0","10","40","1","4","1","0","2","1","1","2"
"40","Eryngium_pandanifolium","1","2","1","0","0","4","7","1","80","150","1","1","1","0","2","2","1","2"
"41","Eryngium_sanguisorba","1","2","1","0","0","3","7","0","30","50","1","1","1","0","1","1","1","2"
